"Notes"	"State"	"State Code"	"Year"	"Year Code"	Population
	"Arkansas"	"05"	"2009"	"2009"	2896843
	"Arkansas"	"05"	"2010"	"2010"	2915918
	"Arkansas"	"05"	"2011"	"2011"	2937979
	"Arkansas"	"05"	"2012"	"2012"	2949131
	"Arkansas"	"05"	"2013"	"2013"	2959373
	"Arkansas"	"05"	"2014"	"2014"	2966369
	"Arkansas"	"05"	"2015"	"2015"	2978204
	"Arkansas"	"05"	"2016"	"2016"	2988248
	"Arkansas"	"05"	"2017"	"2017"	3004279
	"Arkansas"	"05"	"2018"	"2018"	3013825
	"Arkansas"	"05"	"2019"	"2019"	3017804
	"California"	"06"	"1999"	"1999"	33499204
	"California"	"06"	"2000"	"2000"	33871648
	"California"	"06"	"2001"	"2001"	34479458
	"California"	"06"	"2002"	"2002"	34871843
	"California"	"06"	"2003"	"2003"	35253159
	"California"	"06"	"2004"	"2004"	35574576
	"California"	"06"	"2005"	"2005"	35827943
	"California"	"06"	"2006"	"2006"	36021202
	"California"	"06"	"2007"	"2007"	36250311
	"California"	"06"	"2008"	"2008"	36604337
	"California"	"06"	"2009"	"2009"	36961229
	"California"	"06"	"2010"	"2010"	37253956
	"California"	"06"	"2011"	"2011"	37691912
	"California"	"06"	"2012"	"2012"	38041430
	"California"	"06"	"2013"	"2013"	38332521
	"California"	"06"	"2014"	"2014"	38802500
	"California"	"06"	"2015"	"2015"	39144818
	"California"	"06"	"2016"	"2016"	39250017
	"California"	"06"	"2017"	"2017"	39536653
	"California"	"06"	"2018"	"2018"	39557045
	"California"	"06"	"2019"	"2019"	39512223
	"Colorado"	"08"	"1999"	"1999"	4226018
	"Colorado"	"08"	"2000"	"2000"	4301261
	"Colorado"	"08"	"2001"	"2001"	4425687
	"Colorado"	"08"	"2002"	"2002"	4490406
	"Colorado"	"08"	"2003"	"2003"	4528732
	"Colorado"	"08"	"2004"	"2004"	4575013
	"Colorado"	"08"	"2005"	"2005"	4631888
	"Colorado"	"08"	"2006"	"2006"	4720423
	"Colorado"	"08"	"2007"	"2007"	4803868
	"Colorado"	"08"	"2008"	"2008"	4889730
	"Colorado"	"08"	"2009"	"2009"	4972195
	"Colorado"	"08"	"2010"	"2010"	5029196
	"Colorado"	"08"	"2011"	"2011"	5116796
	"Colorado"	"08"	"2012"	"2012"	5187582
	"Colorado"	"08"	"2013"	"2013"	5268367
	"Colorado"	"08"	"2014"	"2014"	5355866
	"Colorado"	"08"	"2015"	"2015"	5456574
	"Colorado"	"08"	"2016"	"2016"	5540545
	"Colorado"	"08"	"2017"	"2017"	5607154
	"Colorado"	"08"	"2018"	"2018"	5695564
	"Colorado"	"08"	"2019"	"2019"	5758736
	"Connecticut"	"09"	"1999"	"1999"	3386401
	"Connecticut"	"09"	"2000"	"2000"	3405565
	"Connecticut"	"09"	"2001"	"2001"	3432835
	"Connecticut"	"09"	"2002"	"2002"	3458749
	"Connecticut"	"09"	"2003"	"2003"	3484336
	"Connecticut"	"09"	"2004"	"2004"	3496094
	"Connecticut"	"09"	"2005"	"2005"	3506956
	"Connecticut"	"09"	"2006"	"2006"	3517460
	"Connecticut"	"09"	"2007"	"2007"	3527270
	"Connecticut"	"09"	"2008"	"2008"	3545579
	"Connecticut"	"09"	"2009"	"2009"	3561807
	"Connecticut"	"09"	"2010"	"2010"	3574097
	"Connecticut"	"09"	"2011"	"2011"	3580709
	"Connecticut"	"09"	"2012"	"2012"	3590347
	"Connecticut"	"09"	"2013"	"2013"	3596080
	"Connecticut"	"09"	"2014"	"2014"	3596677
	"Connecticut"	"09"	"2015"	"2015"	3590886
	"Connecticut"	"09"	"2016"	"2016"	3576452
	"Connecticut"	"09"	"2017"	"2017"	3588184
	"Connecticut"	"09"	"2018"	"2018"	3572665
	"Connecticut"	"09"	"2019"	"2019"	3565287
	"Delaware"	"10"	"1999"	"1999"	774990
	"Delaware"	"10"	"2000"	"2000"	783600
	"Delaware"	"10"	"2001"	"2001"	795699
	"Delaware"	"10"	"2002"	"2002"	806169
	"Delaware"	"10"	"2003"	"2003"	818003
	"Delaware"	"10"	"2004"	"2004"	830803
	"Delaware"	"10"	"2005"	"2005"	845150
	"Delaware"	"10"	"2006"	"2006"	859268
	"Delaware"	"10"	"2007"	"2007"	871749
	"Delaware"	"10"	"2008"	"2008"	883874
	"Delaware"	"10"	"2009"	"2009"	891730
	"Delaware"	"10"	"2010"	"2010"	897934
	"Delaware"	"10"	"2011"	"2011"	907135
	"Delaware"	"10"	"2012"	"2012"	917092
	"Delaware"	"10"	"2013"	"2013"	925749
	"Delaware"	"10"	"2014"	"2014"	935614
	"Delaware"	"10"	"2015"	"2015"	945934
	"Delaware"	"10"	"2016"	"2016"	952065
	"Delaware"	"10"	"2017"	"2017"	961939
	"Delaware"	"10"	"2018"	"2018"	967171
	"Delaware"	"10"	"2019"	"2019"	973764
	"District of Columbia"	"11"	"1999"	"1999"	570213
	"District of Columbia"	"11"	"2000"	"2000"	572059
	"District of Columbia"	"11"	"2001"	"2001"	574504
	"District of Columbia"	"11"	"2002"	"2002"	573158
	"District of Columbia"	"11"	"2003"	"2003"	568502
	"District of Columbia"	"11"	"2004"	"2004"	567754
	"District of Columbia"	"11"	"2005"	"2005"	567136
	"District of Columbia"	"11"	"2006"	"2006"	570681
	"District of Columbia"	"11"	"2007"	"2007"	574404
	"District of Columbia"	"11"	"2008"	"2008"	580236
	"District of Columbia"	"11"	"2009"	"2009"	592228
	"District of Columbia"	"11"	"2010"	"2010"	601723
	"District of Columbia"	"11"	"2011"	"2011"	617996
	"District of Columbia"	"11"	"2012"	"2012"	632323
	"District of Columbia"	"11"	"2013"	"2013"	646449
	"District of Columbia"	"11"	"2014"	"2014"	658893
	"District of Columbia"	"11"	"2015"	"2015"	672228
	"District of Columbia"	"11"	"2016"	"2016"	681170
	"District of Columbia"	"11"	"2017"	"2017"	693972
	"District of Columbia"	"11"	"2018"	"2018"	702455
	"District of Columbia"	"11"	"2019"	"2019"	705749
	"Florida"	"12"	"1999"	"1999"	15759421
	"Florida"	"12"	"2000"	"2000"	15982378
	"Florida"	"12"	"2001"	"2001"	16356966
	"Florida"	"12"	"2002"	"2002"	16689370
	"Florida"	"12"	"2003"	"2003"	17004085
	"Florida"	"12"	"2004"	"2004"	17415318
	"Florida"	"12"	"2005"	"2005"	17842038
	"Florida"	"12"	"2006"	"2006"	18166990
	"Florida"	"12"	"2007"	"2007"	18367842
	"Florida"	"12"	"2008"	"2008"	18527305
	"Florida"	"12"	"2009"	"2009"	18652644
	"Florida"	"12"	"2010"	"2010"	18801310
	"Florida"	"12"	"2011"	"2011"	19057542
	"Florida"	"12"	"2012"	"2012"	19317568
	"Florida"	"12"	"2013"	"2013"	19552860
	"Florida"	"12"	"2014"	"2014"	19893297
	"Florida"	"12"	"2015"	"2015"	20271272
	"Florida"	"12"	"2016"	"2016"	20612439
	"Florida"	"12"	"2017"	"2017"	20984400
	"Florida"	"12"	"2018"	"2018"	21299325
	"Florida"	"12"	"2019"	"2019"	21477737
	"Georgia"	"13"	"1999"	"1999"	8045965
	"Georgia"	"13"	"2000"	"2000"	8186453
	"Georgia"	"13"	"2001"	"2001"	8377038
	"Georgia"	"13"	"2002"	"2002"	8508256
	"Georgia"	"13"	"2003"	"2003"	8622793
	"Georgia"	"13"	"2004"	"2004"	8769252
	"Georgia"	"13"	"2005"	"2005"	8925922
	"Georgia"	"13"	"2006"	"2006"	9155813
	"Georgia"	"13"	"2007"	"2007"	9349988
	"Georgia"	"13"	"2008"	"2008"	9504843
	"Georgia"	"13"	"2009"	"2009"	9620846
	"Georgia"	"13"	"2010"	"2010"	9687653
	"Georgia"	"13"	"2011"	"2011"	9815210
	"Georgia"	"13"	"2012"	"2012"	9919945
	"Georgia"	"13"	"2013"	"2013"	9992167
	"Georgia"	"13"	"2014"	"2014"	10097343
	"Georgia"	"13"	"2015"	"2015"	10214860
	"Georgia"	"13"	"2016"	"2016"	10310371
	"Georgia"	"13"	"2017"	"2017"	10429379
	"Georgia"	"13"	"2018"	"2018"	10519475
	"Georgia"	"13"	"2019"	"2019"	10617423
	"Hawaii"	"15"	"1999"	"1999"	1210300
	"Hawaii"	"15"	"2000"	"2000"	1211537
	"Hawaii"	"15"	"2001"	"2001"	1225948
	"Hawaii"	"15"	"2002"	"2002"	1239613
	"Hawaii"	"15"	"2003"	"2003"	1251154
	"Hawaii"	"15"	"2004"	"2004"	1273569
	"Hawaii"	"15"	"2005"	"2005"	1292729
	"Hawaii"	"15"	"2006"	"2006"	1309731
	"Hawaii"	"15"	"2007"	"2007"	1315675
	"Hawaii"	"15"	"2008"	"2008"	1332213
	"Hawaii"	"15"	"2009"	"2009"	1346717
	"Hawaii"	"15"	"2010"	"2010"	1360301
	"Hawaii"	"15"	"2011"	"2011"	1374810
	"Hawaii"	"15"	"2012"	"2012"	1392313
	"Hawaii"	"15"	"2013"	"2013"	1404054
	"Hawaii"	"15"	"2014"	"2014"	1419561
	"Hawaii"	"15"	"2015"	"2015"	1431603
	"Hawaii"	"15"	"2016"	"2016"	1428557
	"Hawaii"	"15"	"2017"	"2017"	1427538
	"Hawaii"	"15"	"2018"	"2018"	1420491
	"Hawaii"	"15"	"2019"	"2019"	1415872
	"Idaho"	"16"	"1999"	"1999"	1275674
	"Idaho"	"16"	"2000"	"2000"	1293953
	"Idaho"	"16"	"2001"	"2001"	1319962
	"Idaho"	"16"	"2002"	"2002"	1340372
	"Idaho"	"16"	"2003"	"2003"	1363380
	"Idaho"	"16"	"2004"	"2004"	1391802
	"Idaho"	"16"	"2005"	"2005"	1428241
	"Idaho"	"16"	"2006"	"2006"	1468669
	"Idaho"	"16"	"2007"	"2007"	1505105
	"Idaho"	"16"	"2008"	"2008"	1534320
	"Idaho"	"16"	"2009"	"2009"	1554439
	"Idaho"	"16"	"2010"	"2010"	1567582
	"Idaho"	"16"	"2011"	"2011"	1584985
	"Idaho"	"16"	"2012"	"2012"	1595728
	"Idaho"	"16"	"2013"	"2013"	1612136
	"Idaho"	"16"	"2014"	"2014"	1634464
	"Idaho"	"16"	"2015"	"2015"	1654930
	"Idaho"	"16"	"2016"	"2016"	1683140
	"Idaho"	"16"	"2017"	"2017"	1716943
	"Idaho"	"16"	"2018"	"2018"	1754208
	"Idaho"	"16"	"2019"	"2019"	1787065
	"Illinois"	"17"	"1999"	"1999"	12359020
	"Illinois"	"17"	"2000"	"2000"	12419293
	"Illinois"	"17"	"2001"	"2001"	12488445
	"Illinois"	"17"	"2002"	"2002"	12525556
	"Illinois"	"17"	"2003"	"2003"	12556006
	"Illinois"	"17"	"2004"	"2004"	12589773
	"Illinois"	"17"	"2005"	"2005"	12609903
	"Illinois"	"17"	"2006"	"2006"	12643955
	"Illinois"	"17"	"2007"	"2007"	12695866
	"Illinois"	"17"	"2008"	"2008"	12747038
	"Illinois"	"17"	"2009"	"2009"	12796778
	"Illinois"	"17"	"2010"	"2010"	12830632
	"Illinois"	"17"	"2011"	"2011"	12869257
	"Illinois"	"17"	"2012"	"2012"	12875255
	"Illinois"	"17"	"2013"	"2013"	12882135
	"Illinois"	"17"	"2014"	"2014"	12880580
	"Illinois"	"17"	"2015"	"2015"	12859995
	"Illinois"	"17"	"2016"	"2016"	12801539
	"Illinois"	"17"	"2017"	"2017"	12802023
	"Illinois"	"17"	"2018"	"2018"	12741080
	"Illinois"	"17"	"2019"	"2019"	12671821
	"Indiana"	"18"	"1999"	"1999"	6044969
	"Indiana"	"18"	"2000"	"2000"	6080485
	"Indiana"	"18"	"2001"	"2001"	6127760
	"Indiana"	"18"	"2002"	"2002"	6155967
	"Indiana"	"18"	"2003"	"2003"	6196638
	"Indiana"	"18"	"2004"	"2004"	6233007
	"Indiana"	"18"	"2005"	"2005"	6278616
	"Indiana"	"18"	"2006"	"2006"	6332669
	"Indiana"	"18"	"2007"	"2007"	6379599
	"Indiana"	"18"	"2008"	"2008"	6424806
	"Indiana"	"18"	"2009"	"2009"	6459325
	"Indiana"	"18"	"2010"	"2010"	6483802
	"Indiana"	"18"	"2011"	"2011"	6516922
	"Indiana"	"18"	"2012"	"2012"	6537334
	"Indiana"	"18"	"2013"	"2013"	6570902
	"Indiana"	"18"	"2014"	"2014"	6596855
	"Indiana"	"18"	"2015"	"2015"	6619680
	"Indiana"	"18"	"2016"	"2016"	6633053
	"Indiana"	"18"	"2017"	"2017"	6666818
	"Indiana"	"18"	"2018"	"2018"	6691878
	"Indiana"	"18"	"2019"	"2019"	6732219
	"Iowa"	"19"	"1999"	"1999"	2917634
	"Iowa"	"19"	"2000"	"2000"	2926324
	"Iowa"	"19"	"2001"	"2001"	2931997
	"Iowa"	"19"	"2002"	"2002"	2934234
	"Iowa"	"19"	"2003"	"2003"	2941999
	"Iowa"	"19"	"2004"	"2004"	2953635
	"Iowa"	"19"	"2005"	"2005"	2964454
	"Iowa"	"19"	"2006"	"2006"	2982644
	"Iowa"	"19"	"2007"	"2007"	2999212
	"Iowa"	"19"	"2008"	"2008"	3016734
	"Iowa"	"19"	"2009"	"2009"	3032870
	"Iowa"	"19"	"2010"	"2010"	3046355
	"Iowa"	"19"	"2011"	"2011"	3062309
	"Iowa"	"19"	"2012"	"2012"	3074186
	"Iowa"	"19"	"2013"	"2013"	3090416
	"Iowa"	"19"	"2014"	"2014"	3107126
	"Iowa"	"19"	"2015"	"2015"	3123899
	"Iowa"	"19"	"2016"	"2016"	3134693
	"Iowa"	"19"	"2017"	"2017"	3145711
	"Iowa"	"19"	"2018"	"2018"	3156145
	"Iowa"	"19"	"2019"	"2019"	3155070
	"Kansas"	"20"	"1999"	"1999"	2678338
	"Kansas"	"20"	"2000"	"2000"	2688418
	"Kansas"	"20"	"2001"	"2001"	2702162
	"Kansas"	"20"	"2002"	"2002"	2713535
	"Kansas"	"20"	"2003"	"2003"	2723004
	"Kansas"	"20"	"2004"	"2004"	2734373
	"Kansas"	"20"	"2005"	"2005"	2745299
	"Kansas"	"20"	"2006"	"2006"	2762931
	"Kansas"	"20"	"2007"	"2007"	2783785
	"Kansas"	"20"	"2008"	"2008"	2808076
	"Kansas"	"20"	"2009"	"2009"	2832704
	"Kansas"	"20"	"2010"	"2010"	2853118
	"Kansas"	"20"	"2011"	"2011"	2871238
	"Kansas"	"20"	"2012"	"2012"	2885905
	"Kansas"	"20"	"2013"	"2013"	2893957
	"Kansas"	"20"	"2014"	"2014"	2904021
	"Kansas"	"20"	"2015"	"2015"	2911641
	"Kansas"	"20"	"2016"	"2016"	2907289
	"Kansas"	"20"	"2017"	"2017"	2913123
	"Kansas"	"20"	"2018"	"2018"	2911505
	"Kansas"	"20"	"2019"	"2019"	2913314
	"Kentucky"	"21"	"1999"	"1999"	4018053
	"Kentucky"	"21"	"2000"	"2000"	4041769
	"Kentucky"	"21"	"2001"	"2001"	4068132
	"Kentucky"	"21"	"2002"	"2002"	4089875
	"Kentucky"	"21"	"2003"	"2003"	4117170
	"Kentucky"	"21"	"2004"	"2004"	4146101
	"Kentucky"	"21"	"2005"	"2005"	4182742
	"Kentucky"	"21"	"2006"	"2006"	4219239
	"Kentucky"	"21"	"2007"	"2007"	4256672
	"Kentucky"	"21"	"2008"	"2008"	4289878
	"Kentucky"	"21"	"2009"	"2009"	4317074
	"Kentucky"	"21"	"2010"	"2010"	4339367
	"Kentucky"	"21"	"2011"	"2011"	4369356
	"Kentucky"	"21"	"2012"	"2012"	4380415
	"Kentucky"	"21"	"2013"	"2013"	4395295
	"Kentucky"	"21"	"2014"	"2014"	4413457
	"Kentucky"	"21"	"2015"	"2015"	4425092
	"Kentucky"	"21"	"2016"	"2016"	4436974
	"Kentucky"	"21"	"2017"	"2017"	4454189
	"Kentucky"	"21"	"2018"	"2018"	4468402
	"Kentucky"	"21"	"2019"	"2019"	4467673
	"Louisiana"	"22"	"1999"	"1999"	4460811
	"Louisiana"	"22"	"2000"	"2000"	4468976
	"Louisiana"	"22"	"2001"	"2001"	4477875
	"Louisiana"	"22"	"2002"	"2002"	4497267
	"Louisiana"	"22"	"2003"	"2003"	4521042
	"Louisiana"	"22"	"2004"	"2004"	4552238
	"Louisiana"	"22"	"2005"	"2005"	4576628
	"Louisiana"	"22"	"2006"	"2006"	4302665
	"Louisiana"	"22"	"2007"	"2007"	4375581
	"Louisiana"	"22"	"2008"	"2008"	4435586
	"Louisiana"	"22"	"2009"	"2009"	4491648
	"Louisiana"	"22"	"2010"	"2010"	4533372
	"Louisiana"	"22"	"2011"	"2011"	4574836
	"Louisiana"	"22"	"2012"	"2012"	4601893
	"Louisiana"	"22"	"2013"	"2013"	4625470
	"Louisiana"	"22"	"2014"	"2014"	4649676
	"Louisiana"	"22"	"2015"	"2015"	4670724
	"Louisiana"	"22"	"2016"	"2016"	4681666
	"Louisiana"	"22"	"2017"	"2017"	4684333
	"Louisiana"	"22"	"2018"	"2018"	4659978
	"Louisiana"	"22"	"2019"	"2019"	4648794
	"Maine"	"23"	"1999"	"1999"	1266808
	"Maine"	"23"	"2000"	"2000"	1274923
	"Maine"	"23"	"2001"	"2001"	1285692
	"Maine"	"23"	"2002"	"2002"	1295960
	"Maine"	"23"	"2003"	"2003"	1306513
	"Maine"	"23"	"2004"	"2004"	1313688
	"Maine"	"23"	"2005"	"2005"	1318787
	"Maine"	"23"	"2006"	"2006"	1323619
	"Maine"	"23"	"2007"	"2007"	1327040
	"Maine"	"23"	"2008"	"2008"	1330509
	"Maine"	"23"	"2009"	"2009"	1329590
	"Maine"	"23"	"2010"	"2010"	1328361
	"Maine"	"23"	"2011"	"2011"	1328188
	"Maine"	"23"	"2012"	"2012"	1329192
	"Maine"	"23"	"2013"	"2013"	1328302
	"Maine"	"23"	"2014"	"2014"	1330089
	"Maine"	"23"	"2015"	"2015"	1329328
	"Maine"	"23"	"2016"	"2016"	1331479
	"Maine"	"23"	"2017"	"2017"	1335907
	"Maine"	"23"	"2018"	"2018"	1338404
	"Maine"	"23"	"2019"	"2019"	1344212
	"Maryland"	"24"	"1999"	"1999"	5254509
	"Maryland"	"24"	"2000"	"2000"	5296486
	"Maryland"	"24"	"2001"	"2001"	5374691
	"Maryland"	"24"	"2002"	"2002"	5440389
	"Maryland"	"24"	"2003"	"2003"	5496269
	"Maryland"	"24"	"2004"	"2004"	5546935
	"Maryland"	"24"	"2005"	"2005"	5592379
	"Maryland"	"24"	"2006"	"2006"	5627367
	"Maryland"	"24"	"2007"	"2007"	5653408
	"Maryland"	"24"	"2008"	"2008"	5684965
	"Maryland"	"24"	"2009"	"2009"	5730388
	"Maryland"	"24"	"2010"	"2010"	5773552
	"Maryland"	"24"	"2011"	"2011"	5828289
	"Maryland"	"24"	"2012"	"2012"	5884563
	"Maryland"	"24"	"2013"	"2013"	5928814
	"Maryland"	"24"	"2014"	"2014"	5976407
	"Maryland"	"24"	"2015"	"2015"	6006401
	"Maryland"	"24"	"2016"	"2016"	6016447
	"Maryland"	"24"	"2017"	"2017"	6052177
	"Maryland"	"24"	"2018"	"2018"	6042718
	"Maryland"	"24"	"2019"	"2019"	6045680
	"Massachusetts"	"25"	"1999"	"1999"	6317345
	"Massachusetts"	"25"	"2000"	"2000"	6349097
	"Massachusetts"	"25"	"2001"	"2001"	6397634
	"Massachusetts"	"25"	"2002"	"2002"	6417206
	"Massachusetts"	"25"	"2003"	"2003"	6422565
	"Massachusetts"	"25"	"2004"	"2004"	6412281
	"Massachusetts"	"25"	"2005"	"2005"	6403290
	"Massachusetts"	"25"	"2006"	"2006"	6410084
	"Massachusetts"	"25"	"2007"	"2007"	6431559
	"Massachusetts"	"25"	"2008"	"2008"	6468967
	"Massachusetts"	"25"	"2009"	"2009"	6517613
	"Massachusetts"	"25"	"2010"	"2010"	6547629
	"Massachusetts"	"25"	"2011"	"2011"	6587536
	"Massachusetts"	"25"	"2012"	"2012"	6646144
	"Massachusetts"	"25"	"2013"	"2013"	6692824
	"Massachusetts"	"25"	"2014"	"2014"	6745408
	"Massachusetts"	"25"	"2015"	"2015"	6794422
	"Massachusetts"	"25"	"2016"	"2016"	6811779
	"Massachusetts"	"25"	"2017"	"2017"	6859819
	"Massachusetts"	"25"	"2018"	"2018"	6902149
	"Massachusetts"	"25"	"2019"	"2019"	6892503
	"Michigan"	"26"	"1999"	"1999"	9897116
	"Michigan"	"26"	"2000"	"2000"	9938444
	"Michigan"	"26"	"2001"	"2001"	9991120
	"Michigan"	"26"	"2002"	"2002"	10015710
	"Michigan"	"26"	"2003"	"2003"	10041152
	"Michigan"	"26"	"2004"	"2004"	10055315
	"Michigan"	"26"	"2005"	"2005"	10051137
	"Michigan"	"26"	"2006"	"2006"	10036081
	"Michigan"	"26"	"2007"	"2007"	10001284
	"Michigan"	"26"	"2008"	"2008"	9946889
	"Michigan"	"26"	"2009"	"2009"	9901591
	"Michigan"	"26"	"2010"	"2010"	9883640
	"Michigan"	"26"	"2011"	"2011"	9876187
	"Michigan"	"26"	"2012"	"2012"	9883360
	"Michigan"	"26"	"2013"	"2013"	9895622
	"Michigan"	"26"	"2014"	"2014"	9909877
	"Michigan"	"26"	"2015"	"2015"	9922576
	"Michigan"	"26"	"2016"	"2016"	9928300
	"Michigan"	"26"	"2017"	"2017"	9962311
	"Michigan"	"26"	"2018"	"2018"	9995915
	"Michigan"	"26"	"2019"	"2019"	9986857
	"Minnesota"	"27"	"1999"	"1999"	4873481
	"Minnesota"	"27"	"2000"	"2000"	4919479
	"Minnesota"	"27"	"2001"	"2001"	4982796
	"Minnesota"	"27"	"2002"	"2002"	5018935
	"Minnesota"	"27"	"2003"	"2003"	5053572
	"Minnesota"	"27"	"2004"	"2004"	5087713
	"Minnesota"	"27"	"2005"	"2005"	5119598
	"Minnesota"	"27"	"2006"	"2006"	5163555
	"Minnesota"	"27"	"2007"	"2007"	5207203
	"Minnesota"	"27"	"2008"	"2008"	5247018
	"Minnesota"	"27"	"2009"	"2009"	5281203
	"Minnesota"	"27"	"2010"	"2010"	5303925
	"Minnesota"	"27"	"2011"	"2011"	5344861
	"Minnesota"	"27"	"2012"	"2012"	5379139
	"Minnesota"	"27"	"2013"	"2013"	5420380
	"Minnesota"	"27"	"2014"	"2014"	5457173
	"Minnesota"	"27"	"2015"	"2015"	5489594
	"Minnesota"	"27"	"2016"	"2016"	5519952
	"Minnesota"	"27"	"2017"	"2017"	5576606
	"Minnesota"	"27"	"2018"	"2018"	5611179
	"Minnesota"	"27"	"2019"	"2019"	5639632
	"Mississippi"	"28"	"1999"	"1999"	2828408
	"Mississippi"	"28"	"2000"	"2000"	2844658
	"Mississippi"	"28"	"2001"	"2001"	2852994
	"Mississippi"	"28"	"2002"	"2002"	2858681
	"Mississippi"	"28"	"2003"	"2003"	2868312
	"Mississippi"	"28"	"2004"	"2004"	2889010
	"Mississippi"	"28"	"2005"	"2005"	2905943
	"Mississippi"	"28"	"2006"	"2006"	2904978
	"Mississippi"	"28"	"2007"	"2007"	2928350
	"Mississippi"	"28"	"2008"	"2008"	2947806
	"Mississippi"	"28"	"2009"	"2009"	2958774
	"Mississippi"	"28"	"2010"	"2010"	2967297
	"Mississippi"	"28"	"2011"	"2011"	2978512
	"Mississippi"	"28"	"2012"	"2012"	2984926
	"Mississippi"	"28"	"2013"	"2013"	2991207
	"Mississippi"	"28"	"2014"	"2014"	2994079
	"Mississippi"	"28"	"2015"	"2015"	2992333
	"Mississippi"	"28"	"2016"	"2016"	2988726
	"Mississippi"	"28"	"2017"	"2017"	2984100
	"Mississippi"	"28"	"2018"	"2018"	2986530
	"Mississippi"	"28"	"2019"	"2019"	2976149
	"Missouri"	"29"	"1999"	"1999"	5561948
	"Missouri"	"29"	"2000"	"2000"	5595211
	"Missouri"	"29"	"2001"	"2001"	5641142
	"Missouri"	"29"	"2002"	"2002"	5674825
	"Missouri"	"29"	"2003"	"2003"	5709403
	"Missouri"	"29"	"2004"	"2004"	5747741
	"Missouri"	"29"	"2005"	"2005"	5790300
	"Missouri"	"29"	"2006"	"2006"	5842704
