Notes	State	State Code	Year	Year Code	Deaths	Population
	Arizona	4	2010	2010	1389	6392017
	Arizona	4	2011	2011	1740	6482505
	Arizona	4	2012	2012	1736	6553255
	Arizona	4	2013	2013	1786	6626624
	Arizona	4	2014	2014	1936	6731484
	Arizona	4	2015	2015	2081	6828065
	Arizona	4	2016	2016	2025	6931071
	Arizona	4	2017	2017	2054	7016270
	Arizona	4	2018	2018	2046	7171646
	Arizona	4	2019	2019	2173	7278717
	Arkansas	5	1999	1999	691	2651860
	Arkansas	5	2000	2000	714	2673400
	Arkansas	5	2001	2001	756	2691571
	Arkansas	5	2002	2002	793	2705927
	Arkansas	5	2003	2003	884	2724816
	Arkansas	5	2004	2004	838	2749686
	Arkansas	5	2005	2005	824	2781097
	Arkansas	5	2006	2006	839	2821761
	Arkansas	5	2007	2007	838	2848650
	Arkansas	5	2008	2008	901	2874554
	Arkansas	5	2009	2009	890	2896843
	Arkansas	5	2010	2010	850	2915918
	Arkansas	5	2011	2011	908	2937979
	Arkansas	5	2012	2012	833	2949131
	Arkansas	5	2013	2013	835	2959373
	Arkansas	5	2014	2014	828	2966369
	Arkansas	5	2015	2015	886	2978204
	Arkansas	5	2016	2016	920	2988248
	Arkansas	5	2017	2017	1180	3004279
	Arkansas	5	2018	2018	1194	3013825
	Arkansas	5	2019	2019	1144	3017804
	California	6	1999	1999	6401	33499204
	California	6	2000	2000	6190	33871648
	California	6	2001	2001	6395	34479458
	California	6	2002	2002	6807	34871843
	California	6	2003	2003	7093	35253159
	California	6	2004	2004	7117	35574576
	California	6	2005	2005	7697	35827943
	California	6	2006	2006	7376	36021202
	California	6	2007	2007	7413	36250311
	California	6	2008	2008	7375	36604337
	California	6	2009	2009	6979	36961229
	California	6	2010	2010	7061	37253956
	California	6	2011	2011	7695	37691912
	California	6	2012	2012	7895	38041430
	California	6	2013	2013	8057	38332521
	California	6	2014	2014	8249	38802500
	California	6	2015	2015	8845	39144818
	California	6	2016	2016	9124	39250017
	California	6	2017	2017	9595	39536653
	California	6	2018	2018	9506	39557045
	California	6	2019	2019	9854	39512223
	Colorado	8	1999	1999	639	4226018
	Colorado	8	2000	2000	635	4301261
	Colorado	8	2001	2001	667	4425687
	Colorado	8	2002	2002	659	4490406
	Colorado	8	2003	2003	708	4528732
	Colorado	8	2004	2004	696	4575013
	Colorado	8	2005	2005	753	4631888
	Colorado	8	2006	2006	677	4720423
	Colorado	8	2007	2007	710	4803868
	Colorado	8	2008	2008	767	4889730
	Colorado	8	2009	2009	779	4972195
	Colorado	8	2010	2010	721	5029196
	Colorado	8	2011	2011	790	5116796
	Colorado	8	2012	2012	797	5187582
	Colorado	8	2013	2013	788	5268367
	Colorado	8	2014	2014	835	5355866
	Colorado	8	2015	2015	887	5456574
	Colorado	8	2016	2016	938	5540545
	Colorado	8	2017	2017	1017	5607154
	Colorado	8	2018	2018	974	5695564
	Colorado	8	2019	2019	1046	5758736
	Connecticut	9	1999	1999	691	3386401
	Connecticut	9	2000	2000	683	3405565
	Connecticut	9	2001	2001	759	3432835
	Connecticut	9	2002	2002	675	3458749
	Connecticut	9	2003	2003	665	3484336
	Connecticut	9	2004	2004	767	3496094
	Connecticut	9	2005	2005	811	3506956
	Connecticut	9	2006	2006	782	3517460
	Connecticut	9	2007	2007	646	3527270
	Connecticut	9	2008	2008	624	3545579
	Connecticut	9	2009	2009	624	3561807
	Connecticut	9	2010	2010	662	3574097
	Connecticut	9	2011	2011	692	3580709
	Connecticut	9	2012	2012	631	3590347
	Connecticut	9	2013	2013	664	3596080
	Connecticut	9	2014	2014	685	3596677
	Connecticut	9	2015	2015	653	3590886
	Connecticut	9	2016	2016	699	3576452
	Connecticut	9	2017	2017	694	3588184
	Connecticut	9	2018	2018	708	3572665
	Connecticut	9	2019	2019	761	3565287
	Delaware	10	1999	1999	179	774990
	Delaware	10	2000	2000	193	783600
	Delaware	10	2001	2001	218	795699
	Delaware	10	2002	2002	215	806169
	Delaware	10	2003	2003	239	818003
	Delaware	10	2004	2004	210	830803
	Delaware	10	2005	2005	233	845150
	Delaware	10	2006	2006	191	859268
	Delaware	10	2007	2007	223	871749
	Delaware	10	2008	2008	217	883874
	Delaware	10	2009	2009	206	891730
	Delaware	10	2010	2010	196	897934
	Delaware	10	2011	2011	224	907135
	Delaware	10	2012	2012	241	917092
	Delaware	10	2013	2013	218	925749
	Delaware	10	2014	2014	226	935614
	Delaware	10	2015	2015	215	945934
	Delaware	10	2016	2016	203	952065
	Delaware	10	2017	2017	244	961939
	Delaware	10	2018	2018	238	967171
	Delaware	10	2019	2019	267	973764
	District of Columbia	11	1999	1999	221	570213
	District of Columbia	11	2000	2000	221	572059
	District of Columbia	11	2001	2001	209	574504
	District of Columbia	11	2002	2002	191	573158
	District of Columbia	11	2003	2003	179	568502
	District of Columbia	11	2004	2004	224	567754
	District of Columbia	11	2005	2005	192	567136
	District of Columbia	11	2006	2006	184	570681
	District of Columbia	11	2007	2007	152	574404
	District of Columbia	11	2008	2008	156	580236
	District of Columbia	11	2009	2009	129	592228
	District of Columbia	11	2010	2010	145	601723
	District of Columbia	11	2011	2011	152	617996
	District of Columbia	11	2012	2012	145	632323
	District of Columbia	11	2013	2013	108	646449
	District of Columbia	11	2014	2014	119	658893
	District of Columbia	11	2015	2015	162	672228
	District of Columbia	11	2016	2016	127	681170
	District of Columbia	11	2017	2017	138	693972
	District of Columbia	11	2018	2018	144	702455
	District of Columbia	11	2019	2019	128	705749
	Florida	12	1999	1999	4357	15759421
	Florida	12	2000	2000	4449	15982378
	Florida	12	2001	2001	4631	16356966
	Florida	12	2002	2002	4583	16689370
	Florida	12	2003	2003	4762	17004085
	Florida	12	2004	2004	4809	17415318
	Florida	12	2005	2005	5193	17842038
	Florida	12	2006	2006	5172	18166990
	Florida	12	2007	2007	5110	18367842
	Florida	12	2008	2008	5161	18527305
	Florida	12	2009	2009	4901	18652644
	Florida	12	2010	2010	5024	18801310
	Florida	12	2011	2011	5093	19057542
	Florida	12	2012	2012	5092	19317568
	Florida	12	2013	2013	5238	19552860
	Florida	12	2014	2014	5371	19893297
	Florida	12	2015	2015	5403	20271272
	Florida	12	2016	2016	5782	20612439
	Florida	12	2017	2017	6172	20984400
	Florida	12	2018	2018	6204	21299325
	Florida	12	2019	2019	6174	21477737
	Georgia	13	1999	1999	1448	8045965
	Georgia	13	2000	2000	1461	8186453
	Georgia	13	2001	2001	1475	8377038
	Georgia	13	2002	2002	1576	8508256
	Georgia	13	2003	2003	1717	8622793
	Georgia	13	2004	2004	1623	8769252
	Georgia	13	2005	2005	1742	8925922
	Georgia	13	2006	2006	1657	9155813
	Georgia	13	2007	2007	1604	9349988
	Georgia	13	2008	2008	1496	9504843
	Georgia	13	2009	2009	1582	9620846
	Georgia	13	2010	2010	1996	9687653
	Georgia	13	2011	2011	2121	9815210
	Georgia	13	2012	2012	2088	9919945
	Georgia	13	2013	2013	2199	9992167
	Georgia	13	2014	2014	2230	10097343
	Georgia	13	2015	2015	2210	10214860
	Georgia	13	2016	2016	2238	10310371
	Georgia	13	2017	2017	2348	10429379
	Georgia	13	2018	2018	2471	10519475
	Georgia	13	2019	2019	2375	10617423
	Hawaii	15	1999	1999	211	1210300
	Hawaii	15	2000	2000	203	1211537
	Hawaii	15	2001	2001	173	1225948
	Hawaii	15	2002	2002	204	1239613
	Hawaii	15	2003	2003	202	1251154
	Hawaii	15	2004	2004	194	1273569
	Hawaii	15	2005	2005	218	1292729
	Hawaii	15	2006	2006	271	1309731
	Hawaii	15	2007	2007	291	1315675
	Hawaii	15	2008	2008	286	1332213
	Hawaii	15	2009	2009	308	1346717
	Hawaii	15	2010	2010	272	1360301
	Hawaii	15	2011	2011	264	1374810
	Hawaii	15	2012	2012	277	1392313
	Hawaii	15	2013	2013	271	1404054
	Hawaii	15	2014	2014	276	1419561
	Hawaii	15	2015	2015	263	1431603
	Hawaii	15	2016	2016	285	1428557
	Hawaii	15	2017	2017	299	1427538
	Hawaii	15	2018	2018	316	1420491
	Hawaii	15	2019	2019	311	1415872
	Idaho	16	1999	1999	267	1275674
	Idaho	16	2000	2000	304	1293953
	Idaho	16	2001	2001	318	1319962
	Idaho	16	2002	2002	322	1340372
	Idaho	16	2003	2003	358	1363380
	Idaho	16	2004	2004	344	1391802
	Idaho	16	2005	2005	299	1428241
	Idaho	16	2006	2006	320	1468669
	Idaho	16	2007	2007	331	1505105
	Idaho	16	2008	2008	356	1534320
	Idaho	16	2009	2009	372	1554439
	Idaho	16	2010	2010	353	1567582
	Idaho	16	2011	2011	393	1584985
	Idaho	16	2012	2012	371	1595728
	Idaho	16	2013	2013	404	1612136
	Idaho	16	2014	2014	409	1634464
	Idaho	16	2015	2015	403	1654930
	Idaho	16	2016	2016	375	1683140
	Idaho	16	2017	2017	394	1716943
	Idaho	16	2018	2018	408	1754208
	Idaho	16	2019	2019	422	1787065
	Illinois	17	1999	1999	3004	12359020
	Illinois	17	2000	2000	2995	12419293
	Illinois	17	2001	2001	3092	12488445
	Illinois	17	2002	2002	3011	12525556
	Illinois	17	2003	2003	3044	12556006
	Illinois	17	2004	2004	3069	12589773
	Illinois	17	2005	2005	3034	12609903
	Illinois	17	2006	2006	2795	12643955
	Illinois	17	2007	2007	2851	12695866
	Illinois	17	2008	2008	2846	12747038
	Illinois	17	2009	2009	2741	12796778
	Illinois	17	2010	2010	2507	12830632
	Illinois	17	2011	2011	2693	12869257
	Illinois	17	2012	2012	2706	12875255
	Illinois	17	2013	2013	2798	12882135
	Illinois	17	2014	2014	2712	12880580
	Illinois	17	2015	2015	2817	12859995
	Illinois	17	2016	2016	2781	12801539
	Illinois	17	2017	2017	2927	12802023
	Illinois	17	2018	2018	2878	12741080
	Illinois	17	2019	2019	2825	12671821
	Indiana	18	1999	1999	1591	6044969
	Indiana	18	2000	2000	1673	6080485
	Indiana	18	2001	2001	1677	6127760
	Indiana	18	2002	2002	1688	6155967
	Indiana	18	2003	2003	1731	6196638
	Indiana	18	2004	2004	1673	6233007
	Indiana	18	2005	2005	1719	6278616
	Indiana	18	2006	2006	1682	6332669
	Indiana	18	2007	2007	1564	6379599
	Indiana	18	2008	2008	1683	6424806
	Indiana	18	2009	2009	1646	6459325
	Indiana	18	2010	2010	1587	6483802
	Indiana	18	2011	2011	1808	6516922
	Indiana	18	2012	2012	1860	6537334
	Indiana	18	2013	2013	1943	6570902
	Indiana	18	2014	2014	1819	6596855
	Indiana	18	2015	2015	2030	6619680
	Indiana	18	2016	2016	1992	6633053
	Indiana	18	2017	2017	2096	6666818
	Indiana	18	2018	2018	2093	6691878
	Indiana	18	2019	2019	2045	6732219
	Iowa	19	1999	1999	684	2917634
	Iowa	19	2000	2000	630	2926324
	Iowa	19	2001	2001	709	2931997
	Iowa	19	2002	2002	734	2934234
	Iowa	19	2003	2003	727	2941999
	Iowa	19	2004	2004	700	2953635
	Iowa	19	2005	2005	727	2964454
	Iowa	19	2006	2006	804	2982644
	Iowa	19	2007	2007	767	2999212
	Iowa	19	2008	2008	764	3016734
	Iowa	19	2009	2009	702	3032870
	Iowa	19	2010	2010	733	3046355
	Iowa	19	2011	2011	770	3062309
	Iowa	19	2012	2012	692	3074186
	Iowa	19	2013	2013	747	3090416
	Iowa	19	2014	2014	1019	3107126
	Iowa	19	2015	2015	1077	3123899
	Iowa	19	2016	2016	847	3134693
	Iowa	19	2017	2017	918	3145711
	Iowa	19	2018	2018	898	3156145
	Iowa	19	2019	2019	861	3155070
	Kansas	20	1999	1999	650	2678338
	Kansas	20	2000	2000	668	2688418
	Kansas	20	2001	2001	721	2702162
	Kansas	20	2002	2002	765	2713535
	Kansas	20	2003	2003	676	2723004
	Kansas	20	2004	2004	690	2734373
	Kansas	20	2005	2005	710	2745299
	Kansas	20	2006	2006	749	2762931
	Kansas	20	2007	2007	702	2783785
	Kansas	20	2008	2008	706	2808076
	Kansas	20	2009	2009	635	2832704
	Kansas	20	2010	2010	655	2853118
	Kansas	20	2011	2011	711	2871238
	Kansas	20	2012	2012	639	2885905
	Kansas	20	2013	2013	654	2893957
	Kansas	20	2014	2014	643	2904021
	Kansas	20	2015	2015	684	2911641
	Kansas	20	2016	2016	727	2907289
	Kansas	20	2017	2017	874	2913123
	Kansas	20	2018	2018	803	2911505
	Kansas	20	2019	2019	884	2913314
	Kentucky	21	1999	1999	1133	4018053
	Kentucky	21	2000	2000	1107	4041769
	Kentucky	21	2001	2001	1099	4068132
	Kentucky	21	2002	2002	1265	4089875
	Kentucky	21	2003	2003	1296	4117170
	Kentucky	21	2004	2004	1195	4146101
	Kentucky	21	2005	2005	1187	4182742
	Kentucky	21	2006	2006	1141	4219239
	Kentucky	21	2007	2007	1091	4256672
	Kentucky	21	2008	2008	1214	4289878
	Kentucky	21	2009	2009	1348	4317074
	Kentucky	21	2010	2010	1212	4339367
	Kentucky	21	2011	2011	1268	4369356
	Kentucky	21	2012	2012	1256	4380415
	Kentucky	21	2013	2013	1187	4395295
	Kentucky	21	2014	2014	1175	4413457
	Kentucky	21	2015	2015	1458	4425092
	Kentucky	21	2016	2016	1479	4436974
	Kentucky	21	2017	2017	1474	4454189
	Kentucky	21	2018	2018	1506	4468402
	Kentucky	21	2019	2019	1611	4467673
	Louisiana	22	1999	1999	1687	4460811
	Louisiana	22	2000	2000	1694	4468976
	Louisiana	22	2001	2001	1734	4477875
	Louisiana	22	2002	2002	1774	4497267
	Louisiana	22	2003	2003	1740	4521042
	Louisiana	22	2004	2004	1717	4552238
	Louisiana	22	2005	2005	1695	4576628
	Louisiana	22	2006	2006	1536	4302665
	Louisiana	22	2007	2007	1437	4375581
	Louisiana	22	2008	2008	1332	4435586
	Louisiana	22	2009	2009	1249	4491648
	Louisiana	22	2010	2010	1205	4533372
	Louisiana	22	2011	2011	1265	4574836
	Louisiana	22	2012	2012	1290	4601893
	Louisiana	22	2013	2013	1329	4625470
	Louisiana	22	2014	2014	1238	4649676
	Louisiana	22	2015	2015	1199	4670724
	Louisiana	22	2016	2016	1324	4681666
	Louisiana	22	2017	2017	1272	4684333
	Louisiana	22	2018	2018	1457	4659978
	Louisiana	22	2019	2019	1458	4648794
	Maine	23	1999	1999	348	1266808
	Maine	23	2000	2000	357	1274923
	Maine	23	2001	2001	398	1285692
	Maine	23	2002	2002	404	1295960
	Maine	23	2003	2003	398	1306513
	Maine	23	2004	2004	382	1313688
	Maine	23	2005	2005	385	1318787
	Maine	23	2006	2006	343	1323619
	Maine	23	2007	2007	355	1327040
	Maine	23	2008	2008	344	1330509
	Maine	23	2009	2009	350	1329590
	Maine	23	2010	2010	376	1328361
	Maine	23	2011	2011	353	1328188
	Maine	23	2012	2012	380	1329192
	Maine	23	2013	2013	373	1328302
	Maine	23	2014	2014	414	1330089
	Maine	23	2015	2015	407	1329328
	Maine	23	2016	2016	463	1331479
	Maine	23	2017	2017	395	1335907
	Maine	23	2018	2018	478	1338404
	Maine	23	2019	2019	477	1344212
	Maryland	24	1999	1999	1422	5254509
	Maryland	24	2000	2000	1515	5296486
	Maryland	24	2001	2001	1458	5374691
	Maryland	24	2002	2002	1519	5440389
	Maryland	24	2003	2003	1454	5496269
	Maryland	24	2004	2004	1417	5546935
	Maryland	24	2005	2005	1388	5592379
	Maryland	24	2006	2006	1237	5627367
	Maryland	24	2007	2007	1301	5653408
	Maryland	24	2008	2008	1239	5684965
	Maryland	24	2009	2009	1207	5730388
	Maryland	24	2010	2010	1191	5773552
	Maryland	24	2011	2011	1297	5828289
	Maryland	24	2012	2012	1218	5884563
	Maryland	24	2013	2013	1249	5928814
	Maryland	24	2014	2014	1305	5976407
	Maryland	24	2015	2015	1243	6006401
	Maryland	24	2016	2016	1358	6016447
	Maryland	24	2017	2017	1439	6052177
	Maryland	24	2018	2018	1419	6042718
	Maryland	24	2019	2019	1514	6045680
	Massachusetts	25	1999	1999	1354	6317345
	Massachusetts	25	2000	2000	1361	6349097
	Massachusetts	25	2001	2001	1422	6397634
	Massachusetts	25	2002	2002	1423	6417206
	Massachusetts	25	2003	2003	1424	6422565
	Massachusetts	25	2004	2004	1329	6412281
	Massachusetts	25	2005	2005	1271	6403290
	Massachusetts	25	2006	2006	1132	6410084
	Massachusetts	25	2007	2007	1222	6431559
	Massachusetts	25	2008	2008	1079	6468967
	Massachusetts	25	2009	2009	1007	6517613
	Massachusetts	25	2010	2010	1028	6547629
	Massachusetts	25	2011	2011	1140	6587536
	Massachusetts	25	2012	2012	1099	6646144
	Massachusetts	25	2013	2013	1142	6692824
	Massachusetts	25	2014	2014	1202	6745408
	Massachusetts	25	2015	2015	1398	6794422
	Massachusetts	25	2016	2016	1268	6811779
	Massachusetts	25	2017	2017	1321	6859819
	Massachusetts	25	2018	2018	1391	6902149
	Massachusetts	25	2019	2019	1383	6892503
	Michigan	26	1999	1999	2587	9897116
	Michigan	26	2000	2000	2603	9938444
	Michigan	26	2001	2001	2655	9991120
	Michigan	26	2002	2002	2785	10015710
	Michigan	26	2003	2003	2640	10041152
	Michigan	26	2004	2004	2953	10055315
	Michigan	26	2005	2005	2842	10051137
	Michigan	26	2006	2006	2830	10036081
	Michigan	26	2007	2007	2826	10001284
	Michigan	26	2008	2008	2752	9946889
	Michigan	26	2009	2009	2705	9901591
	Michigan	26	2010	2010	2697	9883640
	Michigan	26	2011	2011	2811	9876187
	Michigan	26	2012	2012	2685	9883360
	Michigan	26	2013	2013	2825	9895622
	Michigan	26	2014	2014	2844	9909877
	Michigan	26	2015	2015	2751	9922576
	Michigan	26	2016	2016	2672	9928300
	Michigan	26	2017	2017	2798	9962311
	Michigan	26	2018	2018	2824	9995915
	Michigan	26	2019	2019	2916	9986857
	Minnesota	27	1999	1999	1249	4873481
	Minnesota	27	2000	2000	1209	4919479
	Minnesota	27	2001	2001	1213	4982796
	Minnesota	27	2002	2002	1317	5018935
	Minnesota	27	2003	2003	1276	5053572
	Minnesota	27	2004	2004	1130	5087713
	Minnesota	27	2005	2005	1258	5119598
	Minnesota	27	2006	2006	1158	5163555
	Minnesota	27	2007	2007	1084	5207203
	Minnesota	27	2008	2008	1087	5247018
	Minnesota	27	2009	2009	1021	5281203
	Minnesota	27	2010	2010	1037	5303925
	Minnesota	27	2011	2011	1189	5344861
	Minnesota	27	2012	2012	1165	5379139
	Minnesota	27	2013	2013	1163	5420380
	Minnesota	27	2014	2014	1193	5457173
	Minnesota	27	2015	2015	1221	5489594
	Minnesota	27	2016	2016	1265	5519952
	Minnesota	27	2017	2017	1312	5576606
	Minnesota	27	2018	2018	1308	5611179
	Minnesota	27	2019	2019	1404	5639632
	Mississippi	28	1999	1999	593	2828408
	Mississippi	28	2000	2000	676	2844658
	Mississippi	28	2001	2001	661	2852994
	Mississippi	28	2002	2002	671	2858681
	Mississippi	28	2003	2003	680	2868312
	Mississippi	28	2004	2004	665	2889010
	Mississippi	28	2005	2005	677	2905943
	Mississippi	28	2006	2006	707	2904978
	Mississippi	28	2007	2007	654	2928350
	Mississippi	28	2008	2008	758	2947806
	Mississippi	28	2009	2009	900	2958774
	Mississippi	28	2010	2010	926	2967297
	Mississippi	28	2011	2011	996	2978512
	Mississippi	28	2012	2012	1050	2984926
	Mississippi	28	2013	2013	1071	2991207
	Mississippi	28	2014	2014	1015	2994079
	Mississippi	28	2015	2015	1092	2992333
	Mississippi	28	2016	2016	1084	2988726
	Mississippi	28	2017	2017	1164	2984100
	Mississippi	28	2018	2018	1074	2986530
	Mississippi	28	2019	2019	1159	2976149
	Missouri	29	1999	1999	1554	5561948
	Missouri	29	2000	2000	1458	5595211
	Missouri	29	2001	2001	1535	5641142
	Missouri	29	2002	2002	1625	5674825
	Missouri	29	2003	2003	1666	5709403
	Missouri	29	2004	2004	1461	5747741
	Missouri	29	2005	2005	1549	5790300
	Missouri	29	2006	2006	1493	5842704
	Missouri	29	2007	2007	1444	5887612
	Missouri	29	2008	2008	1348	5923916
	Missouri	29	2009	2009	1335	5961088
	Missouri	29	2010	2010	1425	5988927
	Missouri	29	2011	2011	1438	6010688
	Missouri	29	2012	2012	1377	6021988
	Missouri	29	2013	2013	1477	6044171
	Missouri	29	2014	2014	1423	6063589
	Missouri	29	2015	2015	1468	6083672
	Missouri	29	2016	2016	1508	6093000
	Missouri	29	2017	2017	1605	6113532
	Missouri	29	2018	2018	1606	6126452
	Missouri	29	2019	2019	1658	6137428
	Montana	30	1999	1999	244	897507
	Montana	30	2000	2000	227	902195
	Montana	30	2001	2001	229	906961
	Montana	30	2002	2002	210	911667
	Montana	30	2003	2003	261	919630
	Montana	30	2004	2004	237	930009
	Montana	30	2005	2005	285	940102
	Montana	30	2006	2006	249	952692
	Montana	30	2007	2007	258	964706
	Montana	30	2008	2008	254	976415
	Montana	30	2009	2009	228	983982
	Montana	30	2010	2010	227	989415
	Montana	30	2011	2011	252	998199
	Montana	30	2012	2012	233	1005141
	Montana	30	2013	2013	250	1015165
	Montana	30	2014	2014	250	1023579
	Montana	30	2015	2015	321	1032949
	Montana	30	2016	2016	311	1042520
	Montana	30	2017	2017	292	1050493
	Montana	30	2018	2018	267	1062305
	Montana	30	2019	2019	282	1068778
	Nebraska	31	1999	1999	372	1704764
	Nebraska	31	2000	2000	411	1711263
	Nebraska	31	2001	2001	400	1719836
	Nebraska	31	2002	2002	393	1728292
	Nebraska	31	2003	2003	407	1738643
	Nebraska	31	2004	2004	395	1749370
	Nebraska	31	2005	2005	449	1761497
	Nebraska	31	2006	2006	437	1772693
	Nebraska	31	2007	2007	472	1783440
	Nebraska	31	2008	2008	470	1796378
	Nebraska	31	2009	2009	445	1812683
	Nebraska	31	2010	2010	452	1826341
	Nebraska	31	2011	2011	460	1842641
	Nebraska	31	2012	2012	442	1855525
	Nebraska	31	2013	2013	471	1868516
	Nebraska	31	2014	2014	473	1881503
	Nebraska	31	2015	2015	553	1896190
	Nebraska	31	2016	2016	501	1907116
	Nebraska	31	2017	2017	575	1920076
	Nebraska	31	2018	2018	596	1929268
	Nebraska	31	2019	2019	540	1934408
	Nevada	32	1999	1999	286	1934718
	Nevada	32	2000	2000	276	1998257
	Nevada	32	2001	2001	322	2098399
	Nevada	32	2002	2002	343	2173791
	Nevada	32	2003	2003	301	2248850
	Nevada	32	2004	2004	290	2346222
	Nevada	32	2005	2005	336	2432143
	Nevada	32	2006	2006	294	2522658
	Nevada	32	2007	2007	312	2601072
	Nevada	32	2008	2008	373	2653630
	Nevada	32	2009	2009	377	2684665
	Nevada	32	2010	2010	350	2700551
	Nevada	32	2011	2011	400	2723322
	Nevada	32	2012	2012	438	2758931
	Nevada	32	2013	2013	424	2790136
	Nevada	32	2014	2014	350	2839099
	Nevada	32	2015	2015	420	2890845
	Nevada	32	2016	2016	580	2940058
	Nevada	32	2017	2017	609	2998039
	Nevada	32	2018	2018	674	3034392
	Nevada	32	2019	2019	836	3080156
	New Hampshire	33	1999	1999	294	1222014
	New Hampshire	33	2000	2000	297	1235786
	New Hampshire	33	2001	2001	291	1255517
	New Hampshire	33	2002	2002	311	1269089
	New Hampshire	33	2003	2003	300	1279840
	New Hampshire	33	2004	2004	313	1290121
	New Hampshire	33	2005	2005	310	1298492
	New Hampshire	33	2006	2006	296	1308389
	New Hampshire	33	2007	2007	280	1312540
	New Hampshire	33	2008	2008	297	1315906
	New Hampshire	33	2009	2009	276	1316102
	New Hampshire	33	2010	2010	236	1316470
	New Hampshire	33	2011	2011	280	1318194
	New Hampshire	33	2012	2012	275	1320718
	New Hampshire	33	2013	2013	310	1323459
	New Hampshire	33	2014	2014	300	1326813
	New Hampshire	33	2015	2015	308	1330608
	New Hampshire	33	2016	2016	316	1334795
	New Hampshire	33	2017	2017	340	1342795
	New Hampshire	33	2018	2018	319	1356458
	New Hampshire	33	2019	2019	363	1359711
	New Jersey	34	1999	1999	2436	8359592
	New Jersey	34	2000	2000	2483	8414350
	New Jersey	34	2001	2001	2556	8492671
	New Jersey	34	2002	2002	2532	8552643
	New Jersey	34	2003	2003	2484	8601402
	New Jersey	34	2004	2004	2595	8634561
	New Jersey	34	2005	2005	2540	8651974
	New Jersey	34	2006	2006	2454	8661679
	New Jersey	34	2007	2007	2329	8677885
	New Jersey	34	2008	2008	2242	8711090
	New Jersey	34	2009	2009	1959	8755602
	New Jersey	34	2010	2010	2098	8791894
	New Jersey	34	2011	2011	2222	8821155
	New Jersey	34	2012	2012	1988	8864590
	New Jersey	34	2013	2013	2043	8899339
	New Jersey	34	2014	2014	2062	8938175
	New Jersey	34	2015	2015	1933	8958013
	New Jersey	34	2016	2016	1949	8944469
	New Jersey	34	2017	2017	1908	9005644
	New Jersey	34	2018	2018	1880	8908520
	New Jersey	34	2019	2019	1934	8882190
	New Mexico	35	1999	1999	517	1808082
	New Mexico	35	2000	2000	485	1819046
	New Mexico	35	2001	2001	538	1831690
	New Mexico	35	2002	2002	582	1855309
	New Mexico	35	2003	2003	599	1877574
	New Mexico	35	2004	2004	590	1903808
	New Mexico	35	2005	2005	595	1932274
	New Mexico	35	2006	2006	606	1962137
	New Mexico	35	2007	2007	673	1990070
	New Mexico	35	2008	2008	582	2010662
	New Mexico	35	2009	2009	597	2036802
	New Mexico	35	2010	2010	643	2059179
	New Mexico	35	2011	2011	612	2082224
	New Mexico	35	2012	2012	652	2085538
	New Mexico	35	2013	2013	646	2085287
	New Mexico	35	2014	2014	671	2085572
	New Mexico	35	2015	2015	608	2085109
	New Mexico	35	2016	2016	678	2081015
	New Mexico	35	2017	2017	673	2088070
	New Mexico	35	2018	2018	685	2095428
	New Mexico	35	2019	2019	673	2096829
	New York	36	1999	1999	3799	18882725
	New York	36	2000	2000	3877	18976457
