Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Hampshire,2020,47,2020-11-21,259,242,,58,,,,10,,,,58,,13,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,48,2020-11-28,284,269,,57,,,,,,,,67,,27,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,49,2020-12-05,313,290,,62,,,,16,,,,56,16,46,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,50,2020-12-12,312,285,,38,,,,14,,,10,67,16,52,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,51,2020-12-19,288,267,,56,,13,,,,,,56,11,56,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,52,2020-12-26,357,341,,64,,13,0,15,,,,61,11,85,76,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,53,2021-01-02,304,287,,41,,10,0,11,,,,59,12,77,72,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,1,2021-01-09,323,303,,60,,,,12,,,,55,11,73,63,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,2,2021-01-16,356,336,,63,,,,15,,,10,59,12,80,70,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,3,2021-01-23,296,280,0,52,,11,,16,,,,46,14,64,56,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,4,2021-01-30,272,262,,46,,,,14,,,,49,,61,52,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2021,5,2021-02-06,289,272,,42,,,,14,,,,62,12,37,30,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,6,2021-02-13,255,246,,52,,10,,13,,,11,55,,22,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2021,7,2021-02-20,264,252,,65,,,,15,,,16,51,14,17,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,8,2021-02-27,241,231,,56,,10,0,15,,,17,41,,13,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2021,9,2021-03-06,233,219,,35,,,,,,,13,54,15,12,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,10,2021-03-13,189,184,,47,,11,,13,,,12,38,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2021,11,2021-03-20,162,159,,36,,,,13,0,,13,33,,11,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Jersey,2020,1,2020-01-04,"1,628","1,479",41,321,30,42,25,65,53,35,26,419,68,0,0,,,,,,,,,,,,,,,
New Jersey,2020,2,2020-01-11,"1,587","1,481",38,317,44,51,37,70,40,32,21,394,66,0,0,,,,,,,,,,,,,,,
New Jersey,2020,3,2020-01-18,"1,489","1,393",44,309,35,38,36,73,49,36,19,364,76,0,0,,,,,,,,,,,,,,,
New Jersey,2020,4,2020-01-25,"1,579","1,454",39,310,47,52,34,64,39,36,20,392,86,0,0,,,,,,,,,,,,,,,
New Jersey,2020,5,2020-02-01,"1,517","1,419",47,302,43,54,29,59,40,30,27,349,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,6,2020-02-08,"1,494","1,379",30,299,36,48,26,58,43,41,21,371,80,0,0,,,,,,,,,,,,,,,
New Jersey,2020,7,2020-02-15,"1,488","1,382",50,320,39,46,28,70,38,36,21,358,73,0,0,,,,,,,,,,,,,,,
New Jersey,2020,8,2020-02-22,"1,493","1,386",45,300,34,52,31,71,59,22,19,381,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,9,2020-02-29,"1,571","1,466",47,311,43,56,36,62,48,29,27,378,85,0,0,,,,,,,,,,,,,,,
New Jersey,2020,10,2020-03-07,"1,509","1,395",43,309,42,40,38,60,43,29,18,379,72,0,0,,,,,,,,,,,,,,,
New Jersey,2020,11,2020-03-14,"1,477","1,365",38,280,40,45,34,53,38,27,34,389,75,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,12,2020-03-21,"1,599","1,520",40,306,44,48,43,65,43,57,25,383,85,37,34,,,,,,,,,,,,,,,
New Jersey,2020,13,2020-03-28,"2,124","2,002",63,288,48,67,84,72,68,34,31,469,69,292,277,,,,,,,,,,,,,,,
New Jersey,2020,14,2020-04-04,"3,483","3,372",62,327,99,100,106,107,73,46,59,553,108,"1,244","1,193",,,,,,,,,,,,,,,
New Jersey,2020,15,2020-04-11,"4,770","4,666",61,324,96,124,125,116,92,46,64,631,104,"2,367","2,285",,,,,,,,,,,,,,,
New Jersey,2020,16,2020-04-18,"4,729","4,623",45,343,105,129,84,96,64,47,42,596,92,"2,490","2,388",,,,,,,,,,,,,,,
New Jersey,2020,17,2020-04-25,"3,976","3,867",50,268,86,101,77,101,68,42,32,528,78,"2,042","1,915",,,,,,,,,,,,,,,
New Jersey,2020,18,2020-05-02,"3,181","3,070",48,297,66,81,60,66,50,29,32,417,72,"1,553","1,443",,,,,,,,,,,,,,,
New Jersey,2020,19,2020-05-09,"2,601","2,473",35,285,62,66,39,51,47,32,34,393,54,"1,124","1,013",,,,,,,,,,,,,,,
New Jersey,2020,20,2020-05-16,"2,285","2,193",39,268,49,61,34,57,38,34,27,408,90,827,742,,,,,,,,,,,,,,,
New Jersey,2020,21,2020-05-23,"1,937","1,818",27,292,43,48,29,48,30,26,20,381,73,556,487,,,,,,,,,,,,,,,
New Jersey,2020,22,2020-05-30,"1,745","1,614",39,264,43,49,30,49,34,21,23,317,68,396,348,,,,,,,,,,,,,,,
New Jersey,2020,23,2020-06-06,"1,583","1,465",24,251,40,47,20,46,30,28,22,356,44,314,254,,,,,,,,,,,,,,,
New Jersey,2020,24,2020-06-13,"1,486","1,371",27,278,36,35,17,48,30,30,19,330,54,220,183,,,,,,,,,,,,,,,
New Jersey,2020,25,2020-06-20,"1,410","1,293",38,281,32,37,23,43,32,28,20,330,54,162,127,,,,,,,,,,,,,,,
New Jersey,2020,26,2020-06-27,"1,444","1,337",34,280,40,40,19,52,32,29,17,333,65,141,107,,,,,,,,,,,,,,,
New Jersey,2020,27,2020-07-04,"1,405","1,283",33,294,46,31,16,57,31,32,21,336,56,102,78,,,,,,,,,,,,,,,
New Jersey,2020,28,2020-07-11,"1,387","1,238",28,260,31,39,11,42,28,19,19,326,65,85,59,,,,,,,,,,,,,,,
New Jersey,2020,29,2020-07-18,"1,324","1,225",34,294,32,47,23,38,17,31,21,304,64,61,40,,,,,,,,,,,,,,,
New Jersey,2020,30,2020-07-25,"1,368","1,262",33,294,38,43,23,31,25,26,17,326,54,64,49,,,,,,,,,,,,,,,
New Jersey,2020,31,2020-08-01,"1,389","1,267",32,295,34,42,14,33,39,29,20,339,63,63,48,,,,,,,,,,,,,,,
New Jersey,2020,32,2020-08-08,"1,342","1,224",44,290,26,32,28,46,40,25,26,303,77,36,27,,,,,,,,,,,,,,,
New Jersey,2020,33,2020-08-15,"1,308","1,193",24,269,46,53,20,43,29,29,28,302,49,45,33,,,,,,,,,,,,,,,
New Jersey,2020,34,2020-08-22,"1,341","1,223",46,282,29,37,17,49,38,26,20,333,55,36,30,,,,,,,,,,,,,,,
New Jersey,2020,35,2020-08-29,"1,335","1,205",29,296,45,37,15,45,27,25,15,328,63,33,21,,,,,,,,,,,,,,,
New Jersey,2020,36,2020-09-05,"1,396","1,270",29,278,47,37,21,50,29,37,19,345,52,32,26,,,,,,,,,,,,,,,
New Jersey,2020,37,2020-09-12,"1,388","1,290",38,323,39,44,18,41,36,33,20,319,63,35,30,,,,,,,,,,,,,,,
New Jersey,2020,38,2020-09-19,"1,376","1,261",30,278,40,34,19,46,18,33,26,330,80,35,27,,,,,,,,,,,,,,,
New Jersey,2020,39,2020-09-26,"1,393","1,290",41,291,38,35,11,52,37,34,25,337,80,31,27,,,,,,,,,,,,,,,
New Jersey,2020,40,2020-10-03,"1,330","1,213",33,273,33,33,21,49,31,31,20,306,80,34,27,,,,,,,,,,,,,,,
New Jersey,2020,41,2020-10-10,"1,398","1,289",31,290,51,50,31,46,34,28,37,292,67,53,40,,,,,,,,,,,,,,,
New Jersey,2020,42,2020-10-17,"1,336","1,227",38,255,34,38,15,41,53,25,34,319,58,56,50,,,,,,,,,,,,,,,
New Jersey,2020,43,2020-10-24,"1,467","1,366",39,312,36,58,21,45,38,29,24,318,59,71,62,,,,,,,,,,,,,,,
New Jersey,2020,44,2020-10-31,"1,432","1,341",37,274,35,49,14,59,38,27,19,370,50,82,69,,,,,,,,,,,,,,,
New Jersey,2020,45,2020-11-07,"1,565","1,453",47,338,49,35,22,53,30,28,42,346,73,91,82,,,,,,,,,,,,,,,
New Jersey,2020,46,2020-11-14,"1,627","1,517",42,327,43,44,27,56,41,33,27,366,52,179,156,,,,,,,,,,,,,,,
New Jersey,2020,47,2020-11-21,"1,673","1,556",49,328,41,40,20,51,39,31,36,338,62,226,197,,,,,,,,,,,,,,,
New Jersey,2020,48,2020-11-28,"1,696","1,597",40,257,55,45,17,55,34,27,48,369,68,311,281,,,,,,,,,,,,,,,
New Jersey,2020,49,2020-12-05,"1,902","1,804",49,300,48,45,18,46,38,38,28,387,57,452,408,,,,,,,,,,,,,,,
New Jersey,2020,50,2020-12-12,"2,022","1,922",32,316,53,59,27,49,41,33,42,388,73,493,458,,,,,,,,,,,,,,,
New Jersey,2020,51,2020-12-19,"2,089","2,016",58,310,52,59,23,52,51,31,73,397,100,525,479,,,,,,,,,,,,,,,
New Jersey,2020,52,2020-12-26,"2,057","1,974",42,272,62,54,22,60,46,30,53,399,82,557,514,,,,,,,,,,,,,,,
New Jersey,2020,53,2021-01-02,"2,208","2,093",34,304,64,57,31,57,45,40,54,415,97,643,586,,,,,,,,,,,,,,,
New Jersey,2021,1,2021-01-09,"2,049","1,960",45,266,52,47,34,38,36,39,70,405,74,542,493,,,,,,,,,,,,,,,
New Jersey,2021,2,2021-01-16,"2,150","2,062",43,293,55,57,31,59,39,41,85,389,79,591,540,,,,,,,,,,,,,,,
New Jersey,2021,3,2021-01-23,"1,983","1,919",40,258,34,61,25,56,41,31,85,343,92,556,508,,,,,,,,,,,,,,,
New Jersey,2021,4,2021-01-30,"1,997","1,936",46,285,47,65,30,46,40,39,76,401,55,512,461,,,,,,,,,,,,,,,
New Jersey,2021,5,2021-02-06,"2,020","1,955",44,281,51,59,22,35,42,38,103,398,80,461,418,,,,,,,,,,,,,,,
New Jersey,2021,6,2021-02-13,"1,834","1,778",46,291,37,51,23,39,40,39,109,370,80,362,319,,,,,,,,,,,,,,,
New Jersey,2021,7,2021-02-20,"1,792","1,729",53,305,45,46,20,41,37,43,94,368,66,314,275,,,,,,,,,,,,,,,
New Jersey,2021,8,2021-02-27,"1,730","1,667",33,294,36,52,21,56,36,35,95,356,77,285,245,,,,,,,,,,,,,,,
New Jersey,2021,9,2021-03-06,"1,546","1,499",42,254,38,48,31,30,35,36,113,332,76,204,180,,,,,,,,,,,,,,,
New Jersey,2021,10,2021-03-13,"1,196","1,177",45,222,18,38,15,37,31,23,71,246,65,167,142,,,,,,,,,,,,,,,
New Jersey,2021,11,2021-03-20,"1,236","1,210",32,255,22,50,18,37,37,13,87,245,46,175,158,,,,,,,,,,,,,,,
New Mexico,2020,1,2020-01-04,406,356,,63,15,14,17,18,,,,98,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,2,2020-01-11,409,364,,66,16,10,14,44,,,,86,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,3,2020-01-18,388,338,,61,14,12,11,27,,,,89,,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2020,4,2020-01-25,399,363,,75,10,11,16,23,,,,88,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,5,2020-02-01,370,322,,61,11,,12,21,12,,,74,21,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,6,2020-02-08,376,315,,77,16,,,25,,,,68,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,7,2020-02-15,382,337,,75,19,11,16,20,10,,,73,15,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,8,2020-02-22,388,336,,67,13,10,,25,,,0,87,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,9,2020-02-29,395,354,,61,,17,,31,,11,,103,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,10,2020-03-07,399,357,,60,19,14,11,21,,13,,93,23,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,11,2020-03-14,340,294,,54,13,13,,19,,,,79,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,12,2020-03-21,388,349,,61,15,10,13,25,,,,82,14,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,13,2020-03-28,363,320,,60,18,14,,26,,,,86,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,14,2020-04-04,395,356,,68,16,12,,31,11,,,78,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,15,2020-04-11,405,373,,66,,20,,28,,,,89,18,22,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,16,2020-04-18,419,376,,76,17,17,,21,,,,74,21,35,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,17,2020-04-25,405,360,,67,20,,,18,,,,72,16,47,43,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,18,2020-05-02,418,369,,54,11,11,,13,,,,82,15,75,73,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,19,2020-05-09,440,389,,57,18,14,,16,,,,96,18,70,68,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,20,2020-05-16,469,406,,71,17,12,,19,,12,,77,15,67,58,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,21,2020-05-23,393,347,,70,16,10,,25,10,,,55,13,42,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,22,2020-05-30,431,378,,63,16,,,16,,,,97,18,55,51,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,23,2020-06-06,446,380,,67,18,14,,20,,,,84,16,36,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,24,2020-06-13,440,397,,68,10,14,,26,,11,,84,17,36,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,25,2020-06-20,412,353,,59,16,,,25,,,,87,11,28,27,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,26,2020-06-27,398,344,,62,,14,,14,,12,,80,19,21,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,27,2020-07-04,441,392,,92,13,13,,23,,,,87,16,27,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,28,2020-07-11,401,359,,74,16,15,,23,,,,84,18,29,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,29,2020-07-18,399,332,,62,,16,,20,,,,62,15,32,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,30,2020-07-25,431,381,,53,16,17,,15,,,,72,19,49,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,31,2020-08-01,401,348,,70,18,17,,14,,,,69,20,42,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,32,2020-08-08,428,381,,67,17,21,,16,,,,88,17,28,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,33,2020-08-15,391,345,,70,19,12,,17,,,,67,17,22,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,34,2020-08-22,403,337,,64,20,12,,19,,,,82,11,21,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,35,2020-08-29,395,354,,80,19,17,,17,,,10,72,17,19,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,36,2020-09-05,369,303,0,61,,17,,17,,,,55,16,11,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,37,2020-09-12,390,343,,59,17,13,,13,,,,79,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,38,2020-09-19,393,329,,75,16,15,,12,,,,67,19,10,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,39,2020-09-26,394,355,,86,10,12,,20,,,0,74,25,12,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,40,2020-10-03,378,336,,63,18,18,,14,,,,67,18,16,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,41,2020-10-10,384,352,,67,18,14,,24,,,,75,12,14,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,42,2020-10-17,401,350,,91,11,16,,16,,,,81,15,21,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,43,2020-10-24,428,384,,81,18,11,11,18,,,,74,15,49,47,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,44,2020-10-31,448,407,,65,11,11,,18,,,11,74,14,73,69,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,45,2020-11-07,510,470,,65,11,16,10,30,,,14,62,23,131,124,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,46,2020-11-14,566,516,,53,17,16,,23,,,14,79,14,182,172,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,47,2020-11-21,578,533,,81,11,11,,25,,,17,68,14,185,182,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,48,2020-11-28,584,539,,64,11,14,,24,,,10,71,20,208,197,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,49,2020-12-05,641,594,,75,16,15,,23,,,12,76,17,247,233,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,50,2020-12-12,663,617,,62,23,14,,34,,,13,93,18,270,252,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,51,2020-12-19,634,598,,67,14,18,12,16,,,19,89,19,232,218,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,52,2020-12-26,600,564,,68,13,18,,26,,,15,76,20,188,181,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,53,2021-01-02,568,531,,63,14,18,,20,,,17,97,12,172,164,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2021,1,2021-01-09,545,514,,63,19,,,12,,,30,88,12,176,169,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2021,2,2021-01-16,501,476,,48,13,,,23,,,34,76,16,164,148,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2021,3,2021-01-23,499,481,,74,17,11,,16,,,37,67,17,139,129,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2021,4,2021-01-30,453,422,0,69,14,10,,15,,,30,70,18,104,93,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2021,5,2021-02-06,418,390,,60,,,,14,,,30,69,13,96,89,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
